scenario,n_sim,mean,sd,worst,best,VaR95,CVaR95
"Baseline",500000,0.0450153075988,0.0999878499791,-0.438005047792,0.551197414457,-0.119145909953,-0.161026167785
"Rate-Hike+200bp",500000,0.0296738828335,0.100008062296,-0.459131178886,0.484317851805,-0.134793587281,-0.176487353416
"Market-Crash-30pct",500000,0.031319521764,0.069880383609,-0.283276789714,0.371562907208,-0.0835371784572,-0.112499142153
"Rate+Crash",500000,0.0206380320772,0.0699561430376,-0.316512632545,0.330505665925,-0.094467203668,-0.123733405885
